k
B,0,0,1,0,0,0,0,1,0,0,0,1,1,0
D,0,1,0,0,0,0,0,1,0,0,0,1,1,0
G,1,0,0,0,0,0,0,1,0,0,0,1,1,0
P,0,0,1,0,0,0,0,1,0,0,0,0,1,0
T,0,1,0,0,0,0,0,1,0,0,0,0,1,0
K,1,0,0,0,0,0,0,1,0,0,0,0,1,0
M,0,0,1,0,0,0,0,0,0,0,1,1,1,1
N,0,1,0,0,0,0,0,0,0,0,1,1,1,1
NG,1,0,0,0,0,0,0,0,0,0,1,1,1,1
V,0,0,1,0,0,0,0,0,1,0,0,1,1,0
Z,0,1,0,0,0,0,0,0,1,0,0,1,1,0
SH,1,0,0,0,0,0,0,0,1,0,0,0,1,0
S,0,1,0,0,0,0,0,0,1,0,0,0,1,0
F,0,0,1,0,0,0,0,0,1,0,0,0,1,0
TH,0,0,0,0,0,0,0,0,1,0,0,0,1,0
DH,0,0,0,0,0,0,0,0,1,0,0,1,1,1
R,0,0,0,0,0,0,0,0,0,0,0,1,1,1
L,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Y,0,0,0,0,0,0,0,0,0,0,0,1,0,1
W,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AY,0,0,0,0,0,0,0,0,0,1,0,1,0,1
AW,0,0,0,0,0,0,0,0,0,1,0,1,0,1
AE,0,0,0,0,1,1,0,0,0,1,0,1,0,1
EH,0,0,0,0,1,1,0,0,0,1,0,1,0,1
EY,0,0,0,0,0,0,0,0,0,1,0,1,0,1
IH,0,0,0,1,1,0,0,0,0,1,0,1,0,1
IY,0,0,0,1,1,0,0,0,0,1,0,1,0,1
UW,0,0,0,1,0,0,1,0,0,1,0,1,0,1
UX,0,0,0,1,0,0,1,0,0,1,0,1,0,1
AX,0,0,0,0,0,0,0,0,0,1,0,1,0,1
OW,0,0,0,0,0,0,0,0,0,1,0,1,0,1
AO,0,0,0,0,0,1,1,0,0,1,0,1,0,1
AA,0,0,0,0,0,1,1,0,0,1,0,1,0,1
AH,,,,,,,,,,,,,,
AR,,,,,,,,,,,,,,
UH,,,,,,,,,,,,,,
UR,,,,,,,,,,,,,,
AAR,,,,,,,,,,,,,,
ER,,,,,,,,,,,,,,
EYR,,,,,,,,,,,,,,
IR,,,,,,,,,,,,,,
OR,,,,,,,,,,,,,,
OY,,,,,,,,,,,,,,
